iter	Passed	Remaining
1141	4037	3033
1142	4041	3030
1143	4044	3026
1144	4048	3022
1145	4051	3019
1146	4055	3015
1147	4058	3012
1148	4062	3008
1149	4065	3005
1150	4069	3001
1151	4072	2998
1152	4076	2994
1153	4079	2990
1154	4083	2987
1155	4087	2983
1156	4090	2980
1157	4094	2976
1158	4097	2973
1159	4101	2969
1160	4104	2966
1161	4108	2962
1162	4111	2959
1163	4115	2955
1164	4118	2952
1165	4122	2948
1166	4125	2944
1167	4129	2941
1168	4132	2937
1169	4136	2934
1170	4139	2930
1171	4143	2927
1172	4146	2923
1173	4150	2920
1174	4154	2916
1175	4157	2913
1176	4161	2909
1177	4164	2906
1178	4168	2902
1179	4171	2899
1180	4175	2895
1181	4178	2892
1182	4182	2888
1183	4186	2885
1184	4189	2881
1185	4193	2877
1186	4196	2874
1187	4200	2870
1188	4203	2867
1189	4207	2863
1190	4210	2860
1191	4214	2856
1192	4217	2853
1193	4221	2849
1194	4224	2846
1195	4228	2842
1196	4231	2838
1197	4235	2835
1198	4239	2831
1199	4242	2828
1200	4246	2824
1201	4249	2821
1202	4253	2817
1203	4256	2814
1204	4260	2810
1205	4263	2807
1206	4267	2803
1207	4270	2800
1208	4274	2796
1209	4277	2792
1210	4281	2789
1211	4284	2785
1212	4288	2782
1213	4291	2778
1214	4295	2775
1215	4298	2771
1216	4302	2768
1217	4306	2764
1218	4309	2761
1219	4313	2757
1220	4316	2754
1221	4320	2750
1222	4323	2747
1223	4327	2743
1224	4330	2739
1225	4334	2736
1226	4337	2732
1227	4341	2729
1228	4345	2725
1229	4348	2722
1230	4352	2718
1231	4355	2715
1232	4359	2711
1233	4362	2708
1234	4366	2704
1235	4369	2701
1236	4373	2697
1237	4376	2693
1238	4380	2690
1239	4383	2686
1240	4387	2683
1241	4391	2679
1242	4394	2676
1243	4398	2672
1244	4401	2669
1245	4405	2665
1246	4408	2662
1247	4412	2658
1248	4415	2655
1249	4419	2651
1250	4422	2648
1251	4426	2644
1252	4429	2641
1253	4433	2637
1254	4437	2633
1255	4440	2630
1256	4444	2626
1257	4447	2623
1258	4451	2619
1259	4454	2616
1260	4458	2612
1261	4461	2609
1262	4465	2605
1263	4468	2602
1264	4472	2598
1265	4475	2594
1266	4479	2591
1267	4482	2587
1268	4486	2584
1269	4489	2580
1270	4493	2577
1271	4496	2573
1272	4500	2570
1273	4504	2566
1274	4507	2563
1275	4511	2559
1276	4514	2556
1277	4518	2552
1278	4521	2548
1279	4525	2545
1280	4528	2541
1281	4532	2538
1282	4535	2534
1283	4539	2531
1284	4542	2527
1285	4546	2524
1286	4549	2520
1287	4553	2517
1288	4556	2513
1289	4560	2510
1290	4564	2506
1291	4567	2502
1292	4571	2499
1293	4574	2495
1294	4578	2492
1295	4581	2488
1296	4585	2485
1297	4588	2481
1298	4592	2478
1299	4595	2474
1300	4599	2471
1301	4602	2467
1302	4606	2464
1303	4609	2460
1304	4613	2457
1305	4617	2453
1306	4620	2449
1307	4624	2446
1308	4627	2442
1309	4631	2439
1310	4634	2435
1311	4638	2432
1312	4641	2428
1313	4645	2425
1314	4648	2421
1315	4652	2418
1316	4655	2414
1317	4659	2411
1318	4663	2407
1319	4666	2403
1320	4670	2400
1321	4673	2396
1322	4677	2393
1323	4680	2389
1324	4684	2386
1325	4687	2382
1326	4691	2379
1327	4694	2375
1328	4698	2372
1329	4701	2368
1330	4705	2365
1331	4708	2361
1332	4712	2358
1333	4716	2354
1334	4719	2350
1335	4723	2347
1336	4726	2343
1337	4730	2340
1338	4733	2336
1339	4737	2333
1340	4740	2329
1341	4744	2326
1342	4747	2322
1343	4751	2319
1344	4755	2315
1345	4758	2312
1346	4762	2308
1347	4765	2305
1348	4769	2301
1349	4772	2297
1350	4776	2294
1351	4779	2290
1352	4783	2287
1353	4786	2283
1354	4790	2280
1355	4793	2276
1356	4797	2273
1357	4801	2269
1358	4804	2266
1359	4808	2262
1360	4811	2259
1361	4815	2255
1362	4818	2252
1363	4822	2248
1364	4825	2244
1365	4829	2241
1366	4832	2237
1367	4836	2234
1368	4839	2230
1369	4843	2227
1370	4847	2223
1371	4850	2220
1372	4854	2216
1373	4857	2213
1374	4861	2209
1375	4864	2206
1376	4868	2202
1377	4871	2199
1378	4875	2195
1379	4878	2191
1380	4882	2188
1381	4885	2184
1382	4889	2181
1383	4892	2177
1384	4896	2174
1385	4899	2170
1386	4903	2167
1387	4906	2163
1388	4910	2160
1389	4914	2156
1390	4917	2152
1391	4921	2149
1392	4924	2145
1393	4928	2142
1394	4931	2138
1395	4935	2135
1396	4938	2131
1397	4942	2128
1398	4945	2124
1399	4949	2121
1400	4952	2117
1401	4956	2114
1402	4959	2110
1403	4963	2107
